restaurant,rating,review,review_length,biryani_order,Biryani,Ambience,Service,Quality,Buffet,tsne1,tsne2,label
Bamey's Restro Cafe,4.4444444444444455,18,755.5,0.2570627876678659,0.03396977963336529,0.023519417080910984,0.5391273915236459,0.0164531515318984,0.12986747256231354,-18.03354,16.443148,3
Bangaliana,4.428571428571429,14,926.0714285714287,0.3160332829224077,0.05607363638392614,0.013836921146716157,0.2331951467475491,0.1531787010813997,0.2276823117180012,15.1186,9.912949000000001,2
Bangalore Mandarin,4.35897435897436,39,473.3846153846154,0.27903544239831296,0.006367330021603821,0.09054516790721027,0.3423428919404973,0.14133920996982355,0.14036995776255198,4.9912925,11.333952,2
Banjara Melting Pot,4.333333333333333,12,307.0833333333333,0.04514422541162892,0.10851342256274432,0.12564076845545769,0.3152735989097985,0.13075224002511093,0.2746757446352596,-22.79372,-24.444020000000002,0
Barbecoa,4.366666666666666,45,549.5111111111112,0.08191063471051706,0.022193132184948484,0.07093133624631852,0.3738180846626997,0.06368419296355936,0.3430181747875125,-26.070034,-23.318111,0
Barbecue by Punjab Grill,4.535714285714286,28,624.25,0.055757191147871324,0.028114972771177145,0.06537814641885832,0.4939330480004432,0.04246617348612408,0.3143504681755259,-29.363384000000003,-16.616870000000002,0
Barbeque Delight,4.133333333333334,15,242.46666666666667,0.5018565830949451,0.140359451755402,0.0501641987695687,0.17201240306829596,0.12266123517716428,0.01294612813462404,33.002506,11.818241,2
Barbeque Nation,4.452020202020202,198,476.43939393939394,0.06002430125801985,0.0306071115826353,0.06833962037259919,0.4868785717743904,0.0908370976793966,0.2633132973329587,-28.190772999999997,-13.4372835,1
Barkaas,4.4444444444444455,18,341.0,0.2737964893878654,0.08314553690886015,0.0449124207240065,0.4114777119129026,0.13618472308907212,0.05048311797729328,-3.2063072,16.379179999999998,3
Basmati Restaurant,4.181818181818182,11,411.0,0.38610445297975976,0.2347002001397562,0.06754972261935309,0.1577049453369435,0.12932782055972689,0.02461285836446064,33.97309,8.878842,2
Bathinda Dine,4.163265306122448,49,424.3877551020408,0.27309209957897235,0.021643993878230138,0.05426639028379414,0.3240478828700323,0.1514233048137062,0.11430183877934665,6.5016913,10.589995,2
Bathinda Junction,4.191176470588236,68,363.4411764705882,0.2498120109567741,0.013517154229945049,0.08557958414489789,0.3538979615753751,0.13867076289597918,0.1585225261970287,4.486607599999999,10.891786,2
Bawarchi Inn,4.416666666666667,66,250.98484848484853,0.1289237351249183,0.2393870416527669,0.11274111387488946,0.15838243371218447,0.1937678447474732,0.13649480058473734,32.056446,-6.792237299999999,1
Bazaar Zone By The Park,4.5,10,335.6,0.039059768922018435,0.03972480095929656,0.2145522670259285,0.4757220667814875,0.08314049403946414,0.14780060227180464,-13.529233999999999,-4.391522,1
Beach Hut,4.059523809523808,42,327.3333333333333,0.2477909887881801,0.0146322227623157,0.1091606046805272,0.3354316372882848,0.18568658869229684,0.1072979577883952,6.1376669999999995,8.281756,2
Beijing Bites,4.453389830508475,118,480.35593220338967,0.3552200713577244,0.006720789145391259,0.04390682862738896,0.2732542644905222,0.14259423123451292,0.1783038151444606,11.738332000000002,16.07339,3
Bella s Kitchen,4.208333333333333,12,313.25,0.2833473079502722,0.019510647414970626,0.049637802676065684,0.22681970084003256,0.2951135588028917,0.12557098231576716,11.374099000000001,-4.5693064,1
Bhagini,4.2105263157894735,19,356.31578947368416,0.2929091422419918,0.11661914774483803,0.08383370036532778,0.283419272684354,0.07775854104109119,0.14546019592239726,11.361605,14.377703,3
Bhartiya Jalpan,4.330645161290323,62,402.3387096774193,0.09653964452729537,0.031894151803149966,0.0442218079969287,0.4861573296479846,0.15984659844894722,0.18134046757569405,-20.405086999999998,-8.380796,1
Bheema's,4.166666666666667,18,2067.833333333333,0.18653550771007907,0.3600589508955358,0.009411906851106334,0.1691907518291422,0.0802828815840655,0.1945200011300711,40.275715000000005,-1.6436663,1
Bhojohori Manna,4.447368421052632,38,511.2105263157895,0.2492883004786623,0.049062564832633375,0.05237984715699736,0.3796863280172616,0.13768651284423095,0.13189644667021475,1.5599486,9.696976,2
Bhukkads,4.564516129032258,31,244.61290322580646,0.18163629234338285,0.15633386504084928,0.045758757655640026,0.23876103716613875,0.21799211973653645,0.15951792805745266,25.962362,-4.0916314,1
Big Wong XL,4.441860465116279,43,557.6744186046511,0.2124881220169028,0.005434836661542994,0.0905899558919594,0.4702826260308925,0.06590387602350266,0.15530058337519967,-16.893158,10.259647,2
Bindu Garden Bar Restaurant,4.583333333333333,12,130.33333333333334,0.12288333094935262,0.1058068664164184,0.2053036377187999,0.2473169502898579,0.1392037939587234,0.012818754000181084,26.241333,-9.095784,1
Birinz,4.43859649122807,57,738.561403508772,0.2853927538963446,0.36207906670620793,0.03806917617740558,0.11757056026643872,0.07212620689927836,0.07213065710695622,41.80389,3.1606803,2
Biriyani Bungalow,4.2,10,413.9,0.37567720268248106,0.21300450092511408,0.022468435152625726,0.20020148025085308,0.15027280015539535,0.03837558083353071,33.20901,7.895732400000001,2
Biriyani House,4.384615384615385,13,394.0,0.2759370805933833,0.3044635537098087,0.07964380292942329,0.15951193068289882,0.1312233908126512,0.049220241271834685,38.631718,2.5353234000000002,2
Biriyani Zone,4.232558139534883,43,372.4651162790698,0.31503045182979833,0.40504315111417655,0.022260565552704024,0.10997723576361088,0.11657060155714916,0.03111799418256107,42.743927,3.4836166,2
Biryani Express,4.593023255813954,43,110.51162790697674,0.13953091135929252,0.17171169649380544,0.07097219221488417,0.14320392805636148,0.31471156634976616,0.04359063575844828,24.194674,-11.096096000000001,1
Biryani Park,4.290322580645161,31,198.64516129032262,0.1708048220079253,0.2430084492762859,0.09175320061783496,0.09292088703521148,0.17805362402078367,0.029910629945184525,30.980334999999997,-8.656667,1
Biryanis And More,4.454545454545454,11,307.45454545454544,0.1396812495937271,0.6209986452832208,0.02466433794080364,0.08610047225948411,0.06279736547844049,0.06575792944432389,48.197308,0.69469976,2
Blue Berry Restaurant,4.583333333333333,12,270.75,0.20331226352541454,0.16626497960212594,0.12126050886619134,0.14913080404534362,0.17011859237762214,0.02324618491663576,29.390966,-8.768403,1
Boho,4.425233644859813,107,485.8785046728972,0.09653922535822276,0.017042123477550273,0.10562970922939233,0.5962330381500961,0.08642701261229366,0.09812889117244536,-31.093782,3.2795475,2
Bologna,4.532786885245901,122,790.7213114754097,0.11279412940952753,0.010724966881813387,0.09055022865516033,0.6765117318452756,0.05338502325738107,0.04783719863936694,-36.034904,6.339452,2
Bombay Brasserie,4.290322580645161,124,512.1532258064517,0.17453438965500925,0.028253568188878555,0.07690747587557396,0.4912400856179919,0.09673790637190237,0.13232657429064412,-19.145853,5.728092,2
Bonsouth,4.583333333333333,36,449.9444444444445,0.05757061955121565,0.01374004844739992,0.08893107303370629,0.3797847688154724,0.06525491016407765,0.311385246654795,-25.405945000000003,-22.441025,0
Bonum cibum,4.655172413793104,29,492.44827586206895,0.1176549781278988,0.017470955646778884,0.023535445320778836,0.6791207943601741,0.12720975289181993,0.03500807365254938,-38.44543,7.315398700000001,2
Bricklane,4.333333333333333,36,396.3611111111112,0.2089832423157856,0.011796818152140265,0.1093289826016702,0.540303357543111,0.04202057772657011,0.08756702166072255,-21.210241,11.130605000000001,2
Bridgeway,4.136363636363637,11,345.54545454545456,0.35119660232911304,0.08483994583630287,0.14721055343213918,0.18455191016830744,0.14294157796883913,0.08925941026529824,23.686357,7.407551,2
Broadway The Gourmet Theatre,4.291666666666667,48,451.27083333333326,0.16967622937639282,0.19146094782745826,0.07457243338709214,0.4163634798349037,0.07558144456224336,0.07234546501190979,2.8182973999999996,-0.37974957,1
Buddha Treats,4.809523809523808,21,478.19047619047615,0.3948464148443225,0.011348944020397557,0.0008404390016369537,0.2503837530166437,0.2711950770307269,0.023766324467224875,14.0793495,-3.0280056,1
Burma Burma,4.62015503875969,129,800.3643410852713,0.11188771219673817,0.012239439292457759,0.07181271043187218,0.5084252374905955,0.11737828850731075,0.17050467409652945,-22.584557,-1.2769983,1
By The Blue Grand Mercure,4.266666666666667,15,433.73333333333335,0.043079208679933305,0.016903258708324636,0.013777378101653954,0.7692572281065135,0.06871384301982257,0.08826908338375204,-41.678078,2.578442,2
Cable Car,4.526315789473684,38,527.3157894736842,0.06536839158290943,0.02302448198502524,0.05029814067691093,0.3593077357141714,0.09176873022588077,0.4102325198151024,-27.700151,-25.088932,0
Cafe Mangii,4.380952380952381,42,451.4523809523809,0.0973193059505966,0.03000890362272039,0.08077127068579114,0.6940456829067455,0.05759696630703508,0.04025787052711136,-37.047497,6.197378,2
Cafe Noir,4.228260869565218,46,454.69565217391306,0.11500693120787052,0.02587175577268546,0.05168275709306459,0.6103495501398424,0.07597790514277265,0.12111110064376447,-32.53269,0.81592053,2
Cafe of Joy,4.176470588235294,17,425.0,0.12675562838904422,0.012306686690301185,0.061773936025034164,0.604111515171176,0.1232814422814236,0.07177079144302087,-30.789179999999998,6.43967,2
Caffe Pascucci,4.090909090909091,11,266.72727272727275,0.14189676243419586,0.0017679782947399422,0.0575018950230318,0.6483459005543041,0.004825791660823711,0.05475258112381369,-35.61023,8.167512,2
Calicut Restaurant,4.1521739130434785,46,369.4347826086956,0.2902131390062487,0.10045562461238099,0.048631232920132036,0.2768425257254257,0.13401106629392529,0.08462902013753948,11.098419,12.33506,2
Canopy,4.0,19,267.3684210526316,0.057229161817248575,0.0784169532826691,0.01166305048327774,0.4078584063565433,0.14383559590248746,0.24836525321040545,-18.096756,-16.895039,0
Carnatic,4.4375,16,525.5625,0.1485049263071106,0.21671635005046744,0.002791814159650117,0.3045415552971912,0.08354579410835412,0.2438995600772265,30.025476,-2.2920249,1
Chaarcoal,4.2631578947368425,19,353.73684210526324,0.1742072639196699,0.04569556872075042,0.04630686251930699,0.4821037615572701,0.11481298434797745,0.1368735589350251,-18.517706,5.364207700000001,2
Chaavadi,4.7,10,230.8,0.08946787719189639,0.005451140852410479,0.059807823760161076,0.4858696456775434,0.2371283966843141,0.022275115833674468,-1.9431794999999998,-16.942698,0
Charminar Kabab Paradise,4.104166666666667,24,303.0,0.3626258584727545,0.10137306525886114,0.07603591386498601,0.20317991552779954,0.12137429478464926,0.13541095209094942,14.908639,13.57107,3
Chattorey The Family Restaurant,4.846153846153847,13,100.84615384615385,0.09446117749441467,0.016408342783431243,0.18879556779411544,0.2392219793243887,0.21432501945183605,0.09294175930565993,17.023979999999998,-13.747342000000002,0
Checkpost,4.2105263157894735,19,354.26315789473676,0.2791419091296386,0.07182534097725735,0.07023450539349851,0.28831640871149633,0.17028098238169684,0.12020085340641247,9.621134,11.484264,2
Chef Dine,4.6,15,73.46666666666667,0.22309378020424506,0.053294282299037016,0.14622100180778094,0.18140280460343752,0.17931155966229018,0.08334323808987594,21.485184,-6.647686,1
Chef in,4.114942528735631,87,405.5402298850575,0.228909071865406,0.15932510678028552,0.05758092836798975,0.298310102512303,0.16886398084916845,0.08701080962484732,26.367065000000004,-1.1210408,1
Chef's Gallery,4.464285714285714,28,251.10714285714286,0.027062053777954027,0.0035216717919477492,0.15431100527213268,0.4568202653128706,0.10946650554026224,0.24881849830483274,-25.586412,-10.899731,1
Chez Mariannick,4.330985915492958,142,423.4366197183099,0.0734165219819312,0.02845859621289637,0.0791250189052538,0.6862210738308185,0.07215949905169887,0.06061929001740121,-37.1186,5.473567500000001,2
Chianti,4.51241134751773,282,636.7907801418439,0.10767291426705232,0.01901999686161677,0.08471034376387741,0.6384625012006367,0.08596509095620945,0.06416915295060761,-33.38041,5.5792484,2
Chichaba's Taj,4.304347826086956,23,572.6086956521739,0.2243418688297161,0.4581753767509442,0.06019626737253975,0.14055720536934616,0.05907826412737215,0.05765101755008175,43.90363,1.2753583,2
Chili's American Grill Bar,4.466666666666667,30,392.6,0.16821776987266782,0.011746337428611229,0.11431286834942705,0.4995775950401262,0.09860651309060976,0.10753891621855786,-19.402092,7.1814729999999996,2
Chill,4.642857142857143,14,218.0,0.0691510920969223,0.004369316478857435,0.12972623826628324,0.6372673245511656,0.10015220236037424,0.05933382624639728,-32.949259999999995,4.222383,2
Chin Chin by The Biere Club,4.25,12,405.91666666666674,0.2227420924900079,0.011992825868877809,0.020239428486227333,0.702032685432429,0.019856216933101287,0.02313675078935656,-39.696384,12.981062,3
China Bistro Lounge,4.1,10,536.1,0.1117851438801318,0.023578749295071758,0.0043139450130690775,0.5084591798939545,0.005731437971573961,0.3461315439461989,-31.538815999999997,-17.791498,0
China Pearl,4.266666666666667,30,430.26666666666665,0.2793108869792543,0.009192797479598041,0.08412912252022274,0.37684998247656004,0.09601144561892663,0.15450576492543813,0.86129266,13.501,3
Chinese Street,4.421052631578949,38,289.3421052631578,0.2865147184324601,0.015713737337180074,0.03723814659541392,0.2840373414652704,0.1868165773927685,0.13704789982953858,10.330384,9.179108,2
Chinita Real Mexican Food,4.420792079207921,101,795.0297029702971,0.1823132658652598,0.0378768360982084,0.08776517866079467,0.5463434123892352,0.08718614975018882,0.04861416713730296,-23.7108,10.392894,2
Chow San,4.671052631578949,38,183.76315789473685,0.2103232465483177,0.038436787315527285,0.015995887772701858,0.30326859029604536,0.3316280615856371,0.04771584753440234,8.583489,-12.5837965,1
Chulha Chauki Da Dhaba,4.212264150943397,106,406.7169811320755,0.2116524792970144,0.030979586951257975,0.08629656918028658,0.3925789368691919,0.1201276976611032,0.15836473004114587,-4.1419115,9.768075,2
Chullah Chandigarh,4.2727272727272725,33,415.33333333333326,0.2428053492140705,0.0071962536162282565,0.04188651255613487,0.4515585702945982,0.14244463587322942,0.1141086784457386,-10.581746,12.865161,2
Chung Wah,4.30188679245283,53,331.05660377358487,0.2990505011773775,0.010793485223569994,0.052126439312284924,0.3730462928566928,0.13016158765204688,0.13482169377802802,3.3166763999999995,13.600592,3
Chung Wah Opus,3.9,15,296.73333333333335,0.2419920922834065,0.011872024109101964,0.10980207184579302,0.3771642440723659,0.04993808042832912,0.14256482059433676,-1.2693976,13.252583,3
Chung's Chinese Corner,4.285714285714286,21,458.4285714285714,0.541085476654628,0.005408501179380671,0.03799120880013439,0.2276908479764215,0.06623120807319237,0.12159275731624307,20.835998999999997,26.170126,3
Chutney Chang,4.296296296296297,27,522.2962962962963,0.012191587956790177,0.05132064797156682,0.016250945284110894,0.4135655827482737,0.032690831032465194,0.4739804050067932,-30.733665000000002,-25.09779,0
Cinnamon,4.439732142857143,224,321.79910714285717,0.17049837420229447,0.0378019413371716,0.08949743168956582,0.3783677958994381,0.16250392164643407,0.13008053522509586,-8.346698,-9.513327,1
City Durbar,4.361111111111111,18,238.61111111111111,0.08723331893179659,0.21419328204807672,0.04762225536737466,0.35022737441756496,0.2530410610095526,0.04768270822563446,34.77879,-10.963011999999999,1
Coastal Hub,4.588235294117646,17,340.9411764705883,0.2386219668607019,0.011816694804996879,0.059736270171258925,0.25922287986304765,0.16811978523854065,0.262482403061454,15.570764000000002,8.255339999999999,2
Coastal Inn,4.65,30,296.8333333333333,0.20014052292117207,0.03352392151795621,0.06081375791352415,0.4213977835622425,0.14958745691866113,0.10120322383311076,-9.932167,9.616992999999999,2
Connie's Restaurant SteakHouse,4.304347826086956,23,477.1304347826088,0.2467174637650072,0.006616033548928286,0.04905347291074725,0.5850757770901857,0.07620684970208072,0.036330402983050826,-22.335445,14.092096,3
Connie's Restaurant Steakhouse,4.352941176470588,17,499.47058823529403,0.2704271127118702,0.011374213402289958,0.07954092959035397,0.4686046391282551,0.12328288566204815,0.04677021950518246,-10.723075,14.515665,3
Copper Chimney,4.3076923076923075,26,679.3461538461537,0.1692413257311678,0.04995999964837334,0.047783387005101916,0.4783310096164419,0.08664522166731428,0.1680390563316008,-20.675404,1.9821381999999999,2
Crescent Avenue Hotel Bangalore International,3.8333333333333335,15,344.86666666666673,0.11056745162027982,0.08261294997962022,0.07212690162945402,0.4684616570722598,0.07388118846862426,0.1923498512297618,-19.625029,0.10422677,2
Curry Leaves,4.045454545454546,99,374.7272727272728,0.2396680590343977,0.07836251442435327,0.05850558279693128,0.2443684065514169,0.15221454705157705,0.18647684973728326,13.519247,6.705051400000001,2
Curry with a 'K' StMark's Hotel,4.075,40,375.85,0.06703441020304178,0.008711391819298206,0.13721918671153496,0.5108373704461365,0.06341886719675248,0.212778773623236,-27.456999,-9.172181,1
D'7 Feast Resto Cafe,4.612903225806452,93,423.2150537634408,0.1454963471592441,0.0150293255189382,0.09837813655463562,0.5344170292571931,0.1517081776128852,0.0549709838971038,-25.46435,7.596485,2
Dadi's Dum Biryani,4.342857142857143,35,406.4285714285714,0.21969213718941905,0.3421337362155956,0.06686983668848721,0.11928532054060352,0.10933505352855016,0.0855410586944875,40.64881,1.7056894,2
Dakshin,4.5227272727272725,22,248.45454545454547,0.18749117587305475,0.07653470241037592,0.07225608580740374,0.2644548689813079,0.2576348768763135,0.0961737445969988,19.626955,-8.344416,1
Dal Tadkaa,4.177777777777779,45,257.24444444444447,0.05560799042524659,0.01694306796497726,0.07539841255521157,0.4108067790925544,0.2131266201727165,0.18367268534484946,-15.184969,-12.025741,1
Dash In,4.2586206896551735,29,307.7586206896552,0.3049371076060273,0.016646234735980585,0.05571755731809041,0.3684383479557419,0.14843928958837554,0.10582146279578414,4.2468953,13.534879,3
